ID,Category_x,Reclassified_Category
346,Other,Artificial Intelligence / Machine Learning
347,Other,Other
348,Other,Other
349,Other,Artificial Intelligence / Machine Learning
350,Other,Artificial Intelligence / Machine Learning
351,Other,Artificial Intelligence / Machine Learning
353,Other,Artificial Intelligence / Machine Learning
354,Other,Networking
355,Other,Artificial Intelligence / Machine Learning
356,Other,Artificial Intelligence / Machine Learning
357,Other,Other
358,Other,Other
359,Other,Other
360,Other,Artificial Intelligence / Machine Learning
361,Other,Other
362,Other,Artificial Intelligence / Machine Learning
364,Other,Artificial Intelligence / Machine Learning
366,Other,Other
367,Other,Artificial Intelligence / Machine Learning
368,Other,Artificial Intelligence / Machine Learning
370,Other,Mobile Development
371,Other,Artificial Intelligence / Machine Learning
372,Other,Networking
373,Other,Artificial Intelligence / Machine Learning
374,Other,Artificial Intelligence / Machine Learning
376,Other,Other
377,Other,Artificial Intelligence / Machine Learning
379,Other,Artificial Intelligence / Machine Learning
380,Other,Networking
381,Other,Other
382,Other,Artificial Intelligence / Machine Learning
383,Other,Artificial Intelligence / Machine Learning
384,Other,Artificial Intelligence / Machine Learning
385,Other,Other
386,Other,Other
387,Other,Artificial Intelligence / Machine Learning
388,Other,Artificial Intelligence / Machine Learning
389,Other,Artificial Intelligence / Machine Learning
390,Other,Artificial Intelligence / Machine Learning
391,Other,Other
392,Other,Networking
393,Other,Artificial Intelligence / Machine Learning
394,Other,Artificial Intelligence / Machine Learning
395,Other,Artificial Intelligence / Machine Learning
396,Other,Other
398,Other,Artificial Intelligence / Machine Learning
399,Other,Artificial Intelligence / Machine Learning
400,Other,Artificial Intelligence / Machine Learning
401,Other,Artificial Intelligence / Machine Learning
402,Other,Artificial Intelligence / Machine Learning
403,Other,Other
404,Other,Artificial Intelligence / Machine Learning
405,Other,Other
406,Other,Other
407,Other,Networking
408,Other,Other
409,Other,Other
410,Other,Other
411,Other,Other
412,Other,Artificial Intelligence / Machine Learning
413,Other,Other
414,Other,Other
415,Other,Artificial Intelligence / Machine Learning
416,Other,Other
417,Other,Artificial Intelligence / Machine Learning
420,Other,Artificial Intelligence / Machine Learning
421,Other,Artificial Intelligence / Machine Learning
422,Other,Other
423,Other,Artificial Intelligence / Machine Learning
425,Other,Artificial Intelligence / Machine Learning
427,Other,Networking
428,Other,Artificial Intelligence / Machine Learning
429,Other,Other
430,Other,Other
431,Other,Artificial Intelligence / Machine Learning
432,Other,Artificial Intelligence / Machine Learning
433,Other,Other
434,Other,Artificial Intelligence / Machine Learning
435,Other,Other
436,Other,Other
437,Other,Artificial Intelligence / Machine Learning
438,Other,Artificial Intelligence / Machine Learning
439,Other,Artificial Intelligence / Machine Learning
441,Other,Other
442,Other,Other
443,Other,Artificial Intelligence / Machine Learning
444,Other,Artificial Intelligence / Machine Learning
446,Other,Artificial Intelligence / Machine Learning
447,Other,Other
448,Other,Other
449,Other,Artificial Intelligence / Machine Learning
450,Other,Artificial Intelligence / Machine Learning
451,Other,Artificial Intelligence / Machine Learning
452,Other,Artificial Intelligence / Machine Learning
454,Other,Artificial Intelligence / Machine Learning
455,Other,Networking
456,Other,Other
457,Other,Networking
458,Other,Other
459,Other,Artificial Intelligence / Machine Learning
460,Other,Artificial Intelligence / Machine Learning
461,Other,Artificial Intelligence / Machine Learning
464,Other,Artificial Intelligence / Machine Learning
465,Other,Artificial Intelligence / Machine Learning
466,Other,Other
467,Other,Networking
468,Other,Artificial Intelligence / Machine Learning
469,Other,Software Engineering
470,Other,Other
471,Other,Other
473,Other,Artificial Intelligence / Machine Learning
474,Other,Other
475,Other,Web Development
476,Other,Artificial Intelligence / Machine Learning
477,Other,Artificial Intelligence / Machine Learning
478,Other,Artificial Intelligence / Machine Learning
480,Other,Artificial Intelligence / Machine Learning
481,Other,Artificial Intelligence / Machine Learning
482,Other,Web Development
483,Other,Artificial Intelligence / Machine Learning
484,Other,Other
486,Other,Other
487,Other,Artificial Intelligence / Machine Learning
488,Other,Artificial Intelligence / Machine Learning
489,Other,Artificial Intelligence / Machine Learning
490,Other,Other
491,Other,Artificial Intelligence / Machine Learning
492,Other,Other
495,Other,Other
496,Other,Artificial Intelligence / Machine Learning
498,Other,Artificial Intelligence / Machine Learning
499,Other,Networking
500,Other,Other
501,Other,Cloud Computing
502,Other,Artificial Intelligence / Machine Learning
503,Other,Artificial Intelligence / Machine Learning
504,Other,Artificial Intelligence / Machine Learning
505,Other,Artificial Intelligence / Machine Learning
507,Other,Artificial Intelligence / Machine Learning
509,Other,Mobile Development
510,Other,Artificial Intelligence / Machine Learning
511,Other,Artificial Intelligence / Machine Learning
512,Other,Artificial Intelligence / Machine Learning
513,Other,Other
514,Other,Other
515,Other,Artificial Intelligence / Machine Learning
516,Other,Artificial Intelligence / Machine Learning
517,Other,Artificial Intelligence / Machine Learning
518,Other,Artificial Intelligence / Machine Learning
519,Other,Artificial Intelligence / Machine Learning
520,Other,Other
521,Other,Artificial Intelligence / Machine Learning
522,Other,Other
523,Other,Other
524,Other,Artificial Intelligence / Machine Learning
526,Other,Other
527,Other,Artificial Intelligence / Machine Learning
528,Other,Other
529,Other,Other
530,Other,Artificial Intelligence / Machine Learning
531,Other,Artificial Intelligence / Machine Learning
532,Other,Other
533,Other,Artificial Intelligence / Machine Learning
534,Other,Other
535,Other,Other
536,Other,DevOps
538,Other,Artificial Intelligence / Machine Learning
539,Other,Other
540,Other,Networking
541,Other,Networking
542,Other,Artificial Intelligence / Machine Learning
543,Other,Other
544,Other,Other
546,Other,Other
547,Other,Artificial Intelligence / Machine Learning
548,Other,Artificial Intelligence / Machine Learning
550,Other,Other
551,Other,Other
552,Other,Other
553,Other,Artificial Intelligence / Machine Learning
554,Other,Other
555,Other,Artificial Intelligence / Machine Learning
556,Other,Networking
557,Other,Artificial Intelligence / Machine Learning
560,Other,Artificial Intelligence / Machine Learning
561,Other,Other
562,Other,Artificial Intelligence / Machine Learning
563,Other,Other
565,Other,Artificial Intelligence / Machine Learning
566,Other,Artificial Intelligence / Machine Learning
567,Other,Other
568,Other,Networking
570,Other,Other
571,Other,Artificial Intelligence / Machine Learning
572,Other,Other
573,Other,Artificial Intelligence / Machine Learning
574,Other,Other
575,Other,Artificial Intelligence / Machine Learning
576,Other,Other
578,Other,Artificial Intelligence / Machine Learning
579,Other,Other
581,Other,Artificial Intelligence / Machine Learning
582,Other,Other
583,Other,Artificial Intelligence / Machine Learning
584,Other,Other
585,Other,Other
586,Other,Artificial Intelligence / Machine Learning
589,Other,Artificial Intelligence / Machine Learning
590,Other,Artificial Intelligence / Machine Learning
591,Other,Artificial Intelligence / Machine Learning
592,Other,Other
593,Other,Artificial Intelligence / Machine Learning
594,Other,Artificial Intelligence / Machine Learning
595,Other,Artificial Intelligence / Machine Learning
597,Other,Artificial Intelligence / Machine Learning
598,Other,Other
599,Other,Artificial Intelligence / Machine Learning
601,Other,Artificial Intelligence / Machine Learning
602,Other,Artificial Intelligence / Machine Learning
603,Other,Artificial Intelligence / Machine Learning
604,Other,Artificial Intelligence / Machine Learning
605,Other,Artificial Intelligence / Machine Learning
606,Other,Artificial Intelligence / Machine Learning
607,Other,Other
608,Other,Artificial Intelligence / Machine Learning
609,Other,Artificial Intelligence / Machine Learning
610,Other,Mobile Development
611,Other,Other
612,Other,Other
613,Other,Other
